Id,Punkt
1,"344288, г. Тихорецк, ул. Чехова, 1"
2,"614164, г.Тихорецк,  ул. Степная, 30"
3,"394242, г. Тихорецк, ул. Коммунистическая, 43"
4,"660540, г. Тихорецк, ул. Солнечная, 25"
5,"125837, г. Тихорецк, ул. Шоссейная, 40"
6,"125703, г. Тихорецк, ул. Партизанская, 49"
7,"625283, г. Тихорецк, ул. Победы, 46"
8,"614611, г. Тихорецк, ул. Молодежная, 50"
9,"454311, г.Тихорецк, ул. Новая, 19"
10,"660007, г.Тихорецк, ул. Октябрьская, 19"
11,"603036, г. Тихорецк, ул. Садовая, 4"
12,"450983, г.Тихорецк, ул. Комсомольская, 26"
13,"394782, г. Тихорецк, ул. Чехова, 3"
14,"603002, г. Тихорецк, ул. Дзержинского, 28"
15,"450558, г. Тихорецк, ул. Набережная, 30"
16,"394060, г.Тихорецк, ул. Фрунзе, 43"
17,"410661, г. Тихорецк, ул. Школьная, 50"
18,"625590, г. Тихорецк, ул. Коммунистическая, 20"
19,"625683, г. Тихорецк, ул. 8 Марта"
20,"400562, г. Тихорецк, ул. Зеленая, 32"
21,"614510, г. Тихорецк, ул. Маяковского, 47"
22,"410542, г. Тихорецк, ул. Светлая, 46"
23,"620839, г. Тихорецк, ул. Цветочная, 8"
24,"443890, г. Тихорецк, ул. Коммунистическая, 1"
25,"603379, г. Тихорецк, ул. Спортивная, 46"
26,"603721, г. Тихорецк, ул. Гоголя, 41"
27,"410172, г. Тихорецк, ул. Северная, 13"
28,"420151, г. Тихорецк, ул. Вишневая, 32"
29,"125061, г. Тихорецк, ул. Подгорная, 8"
30,"630370, г. Тихорецк, ул. Шоссейная, 24"
31,"614753, г. Тихорецк, ул. Полевая, 35"
32,"426030, г. Тихорецк, ул. Маяковского, 44"
33,"450375, г. Тихорецк ул. Клубная, 44"
34,"625560, г. Тихорецк, ул. Некрасова, 12"
35,"630201, г. Тихорецк, ул. Комсомольская, 17"
36,"190949, г. Тихорецк, ул. Мичурина, 26"
